Microchip,Weight,Headwidth,TrapID,year,month,dftd,breed,agecat
FNP000000000341,8.19,102.9,FNP119,2003,7,0,1,Adult
FNP000000000343,5.5,101,FNP120,2003,7,0,1,Adult
FNP000000000351,6.4,98.3,FNP026,2003,6,0,1,Adult
FNP000000000351,6.5,94.9,FNP001,2004,11,0,1,Adult
FNP000000000351,5.69,107.5,FNP009,2005,12,0,1,Adult
FNP000000000352,7.6,101,FNP008,2004,11,0,1,Adult
FNP000000000352,7.19,95.69,FNP012,2003,6,0,1,Adult
FNP000000000360,9.5,104,FNP117,2003,7,0,1,Adult
FNP000000000361,7.5,101.9,FNP002,2004,6,0,1,Adult
FNP000000000372,5.5,106.6,NA,2005,4,0,0,Adult
FNP000000000372,7.3,103.9,FNP009,2004,11,0,1,Adult
FNP000000000389,5.19,96.69,FNP101,2003,6,0,0,1year
FNP000000000390,5.69,100.6,FNP009,2003,6,0,0,1year
FNP000000000391,4.5,98.59,FNP008,2004,6,0,1,Adult
FNP000000000391,3.59,92.59,FNP014,2003,6,0,0,1year
FNP000000000392,6.3,90.9,FNP006,2003,6,0,0,1year
FNP000000000395,7.6,101.1,FNP005,2004,6,0,1,Adult
FNP000000000398,7.9,96.69,FNP025,2004,6,0,1,Adult
FNP000000000398,5.9,101.6,FNP028,2003,6,0,0,1year
FNP000000000399,4.59,101.1,FNP122,2003,7,0,1,1year
FNP000000000402,5.3,103,FNP031,2003,7,0,0,1year
FNP000000000402,8.1,102.5,FNP151,2004,7,0,1,Adult
FNP000000000405,5.59,103,FNP160,2003,7,0,0,1year
FNP000000000407,6.4,113,FNP121,2005,12,0,1,Adult
FNP000000000407,7.3,110.5,FNP121,2004,11,0,1,Adult
FNP000000000407,4.9,103.4,FNP122,2003,7,0,0,1year
FNP000000000408,5.4,103.4,FNP034,2003,7,0,0,1year
FNP000000000409,7.59,103.3,FNP086,2004,7,0,1,Adult
FNP000000000409,5.5,99.3,FNP040,2003,7,0,0,1year
FNP000000000410,8,104.6,FNP086,2004,7,0,1,Adult
FNP000000000411,5.09,101,FNP152,2003,7,0,0,1year
FNP000000000411,7.4,106,FNP031,2004,11,0,1,Adult
FNP000000000413,4.09,101.5,FNP196,2003,7,0,0,1year
FNP000000000415,5.3,103.9,FNP203,2006,8,0,1,Adult
FNP000000000415,4.9,100.5,NA,2005,8,0,1,Adult
FNP000000000415,4.09,96.3,FNP201,2003,7,0,0,1year
FNP000000000415,4.9,93.5,FNP201,2004,6,0,1,Adult
